timestamp,server,cpu,memory,disk,network,label,ai_prediction
2026-07-14 00:28:53.405872,VM1,100.0,54.6,23.8,71683,1,1
2026-07-14 00:28:56.691434,VM3,1.2,52.5,23.8,169186,0,0
2026-07-14 00:28:58.055606,VM2,0.6,55.8,23.8,149545,0,0
2026-07-14 00:28:58.545232,VM1,100.0,54.6,23.8,72386,1,1
2026-07-14 00:29:01.936035,VM3,7.7,53.4,23.8,180016,0,0
2026-07-14 00:29:03.309963,VM2,1.8,55.8,23.8,150379,0,0
2026-07-14 00:29:03.851904,VM1,100.0,54.6,23.8,73221,1,1
2026-07-14 00:29:07.106612,VM3,39.5,56.6,23.8,181056,0,0
2026-07-14 00:29:08.480677,VM2,1.1,55.8,23.8,151213,0,0
2026-07-14 00:29:09.139842,VM1,74.7,54.6,23.8,74906,0,1
2026-07-14 00:29:12.905268,VM3,16.6,61.0,23.8,181891,0,0
2026-07-14 00:29:13.603441,VM2,2.2,55.8,23.8,153476,0,0
2026-07-14 00:29:14.310653,VM1,6.4,54.6,23.8,75674,0,1
2026-07-14 00:29:18.039744,VM3,6.5,59.5,23.8,182726,0,0
2026-07-14 00:29:18.688442,VM2,1.7,55.8,23.8,154516,0,0
2026-07-14 00:29:19.395162,VM1,4.5,54.6,23.8,76507,0,0
2026-07-14 00:29:23.156947,VM3,1.0,59.5,23.8,183560,0,0
2026-07-14 00:29:23.728236,VM2,1.9,55.8,23.8,155350,0,0
2026-07-14 00:29:24.519523,VM1,2.8,54.6,23.8,77274,0,0
2026-07-14 00:29:28.215296,VM3,1.4,52.5,23.8,184394,0,0
2026-07-14 00:34:07.112890,VM1,19.6,54.2,23.8,93133,1,0
2026-07-14 00:34:09.668287,VM2,0.2,55.4,23.8,159574,0,0
2026-07-14 00:34:12.187294,VM1,100.0,54.2,23.8,93901,1,1
2026-07-14 00:34:12.809014,VM3,0.5,51.8,23.8,188824,0,0
2026-07-14 00:34:14.692705,VM2,0.3,55.4,23.8,160614,0,0
2026-07-14 00:34:17.360842,VM1,100.0,54.2,23.8,94736,1,1
2026-07-14 00:34:17.919586,VM3,9.0,51.8,23.8,189658,0,0
2026-07-14 00:34:19.748183,VM2,0.4,55.4,23.8,161448,0,0
2026-07-14 00:34:22.410498,VM1,100.0,54.2,23.8,95505,1,1
2026-07-14 00:34:22.962065,VM3,3.6,51.8,23.8,190426,0,0
2026-07-14 00:34:24.792611,VM2,0.3,55.4,23.8,162282,0,0
2026-07-14 00:34:27.435933,VM1,73.9,54.2,23.8,97322,0,1
2026-07-14 00:34:28.000293,VM3,27.2,53.3,23.8,191260,0,0
2026-07-14 00:34:29.825410,VM2,0.3,55.4,23.8,163116,0,0
2026-07-14 00:34:32.459184,VM1,0.6,54.2,23.8,98156,0,0
2026-07-14 00:34:33.038864,VM3,11.0,53.3,23.8,192095,0,0
2026-07-14 00:34:34.890834,VM2,0.4,55.4,23.8,163950,0,0
2026-07-14 00:34:37.584023,VM1,0.6,54.2,23.8,98989,0,0
2026-07-14 00:34:38.085377,VM3,2.0,53.2,23.8,192930,0,0
2026-07-14 00:34:39.923054,VM2,5.8,55.5,23.8,164784,0,0
2026-07-14 00:34:42.622066,VM1,0.4,54.2,23.8,99822,0,0
2026-07-14 00:34:43.125244,VM3,0.7,53.2,23.8,193764,0,0
2026-07-14 00:34:44.961223,VM2,5.3,55.4,23.8,165618,0,0
2026-07-14 00:34:47.671033,VM1,0.6,54.2,23.8,100655,0,0
2026-07-14 00:34:48.204085,VM3,0.4,53.2,23.8,194598,0,0
2026-07-14 00:34:50.041315,VM2,12.1,55.5,23.8,166452,0,0
2026-07-14 00:34:52.759241,VM1,9.0,54.2,23.8,102473,1,0
2026-07-14 00:34:53.229462,VM3,0.5,53.2,23.8,195432,0,0
2026-07-14 00:34:55.079817,VM2,1.6,55.5,23.8,167287,0,0
2026-07-14 00:34:57.817142,VM1,100.0,54.2,23.8,103307,1,1
